year,total_appeals,multifamily_appeals,approval_rate
2007,1542,907,73.54085603112841
2008,1696,963,77.67277023036031
2009,1401,823,78.65810135617416
2010,1648,967,77.85194174757282
2011,1648,991,78.45873786407766
2012,1596,959,77.29559748427674
2013,1302,853,73.24052590873936
2014,1356,713,72.54313578394598
2015,1284,577,72.78481012658227
2016,1483,657,78.29614604462475
2017,1527,656,77.31147540983606
2018,1501,663,76.81545636242505
2019,1593,772,74.50980392156863
2020,1084,472,83.53174603174604
2021,1403,618,86.58806190125277
2022,1272,454,79.82385908726981
2023,1055,369,83.34956183057449
2024,1071,330,87.08036622583927
2025,984,289,88.77005347593582
2026,15,9,
