year,decision,count
2007,ADMIN/REVIEW,12
2007,CONTINUED,7
2007,DENIED,89
2007,DENIED/PROV,38
2007,DISMI/ENFORC,7
2007,DISMISSED,103
2007,GRANTED,357
2007,GRANTED/PROV,777
2007,HELD,2
2007,HELD/INFO,3
2007,REVISED,2
2007,SUSTAINED,1
2007,WITHDRAWN,144
2008,ADMIN/REVIEW,1
2008,CONTINUED,1
2008,DENIED,150
2008,DENIED/PROV,3
2008,DISMI/ENFORC,23
2008,DISMISSED,43
2008,GRANTED,335
2008,GRANTED/PROV,980
2008,HELD,1
2008,HELD/INFO,3
2008,SUSTAINED,2
2008,WITHDRAWN,151
2009,DENIED,128
2009,DENIED/PROV,3
2009,DISMI/ENFORC,2
2009,DISMISSED,52
2009,GRANTED,538
2009,GRANTED/PROV,564
2009,SUSTAINED,1
2009,WITHDRAWN,113
2010,CONTINUED,2
2010,DENIED,148
2010,DENIED/PROV,8
2010,DISMI/ENFORC,2
2010,DISMISSED,59
2010,GRANTED,751
2010,GRANTED/PROV,532
2010,WITHDRAWN,146
2011,CONTINUED,1
2011,DENIED,134
2011,DENIED/PROV,6
2011,DISMI/ENFORC,1
2011,DISMISSED,78
2011,GRANTED,800
2011,GRANTED/PROV,493
2011,HELD,1
2011,HELD/INFO,2
2011,WITHDRAWN,132
2012,CONTINUED,2
2012,DENIED,155
2012,DENIED/PROV,3
2012,DISMI/ENFORC,1
2012,DISMISSED,67
2012,GRANTED,721
2012,GRANTED/PROV,508
2012,HELD,1
2012,HELD/INFO,1
2012,SUSTAINED,1
2012,WITHDRAWN,129
2012,Withdrawn,1
2013,CONTINUED,4
2013,DENIED,178
2013,DENIED/PROV,2
2013,DISMI/ENFORC,4
2013,DISMISSED,36
2013,Dismissed,3
2013,GRANTED,570
2013,GRANTED/PROV,377
2013,HELD,1
2013,WITHDRAWN,115
2013,Withdrawn,3
2014,CONTINUED,2
2014,DENIED,142
2014,DISMISSED,57
2014,Dismissed,55
2014,GRANTED,630
2014,GRANTED/PROV,337
2014,HELD,1
2014,WITHDRAWN,104
2014,Withdrawn,5
2015,CONTINUED,1
2015,DENIED,150
2015,DENIED/PROV,1
2015,DISMI/ENFORC,2
2015,DISMISSED,49
2015,Dismissed,11
2015,GRANTED,617
2015,GRANTED/PROV,303
2015,HELD,2
2015,RESCHEDULE,1
2015,SUSTAINED,1
2015,WITHDRAWN,122
2015,Withdrawn,4
2016,CONTINUED,7
2016,DENIED,114
2016,DISMISSED,74
2016,GRANTED,878
2016,GRANTED/PROV,280
2016,HELD,5
2016,HELD/INFO,2
2016,WITHDRAWN,118
2016,Withdrawn,1
2017,CONTINUED,1
2017,DENIED,120
2017,DENIED/PROV,3
2017,DISMISSED,98
2017,Dismissed,1
2017,GRANTED,784
2017,GRANTED/PROV,395
2017,HELD,3
2017,WITHDRAWN,119
2017,Withdrawn,1
2018,ADMIN/REVIEW,1
2018,CONTINUED,2
2018,DENIED,102
2018,DISMISSED,95
2018,Denied,3
2018,Dismissed,10
2018,GRANTED,728
2018,GRANTED/PROV,422
2018,Granted,3
2018,HELD/INFO,2
2018,SUSTAINED,1
2018,WITHDRAWN,124
2018,Withdrawn,8
2019,CONTINUED,9
2019,DENIED,66
2019,DENIED/PROV,2
2019,DISMISSED,72
2019,Denied,24
2019,Dismissed,74
2019,GRANTED,723
2019,GRANTED/PROV,296
2019,Granted,159
2019,HELD,5
2019,HELD/INFO,9
2019,Refused,4
2019,Revised,1
2019,WITHDRAWN,87
2019,Withdrawn,50
2020,Approved,7
2020,Complete,561
2020,Continued,2
2020,Denied,14
2020,Dismissed,44
2020,Dismissed / Withdrawn,62
2020,GRANTED,7
2020,GRANTED/PROV,3
2020,Granted,264
2020,WITHDRAWN,4
2020,Withdrawn,40
2021,Approved,7
2021,Complete,1144
2021,Continued,2
2021,Denied,3
2021,Dismissed,3
2021,Dismissed / Withdrawn,156
2021,Granted,24
2021,Refused,8
2021,Withdrawn,10
2022,Approved,17
2022,Complete,945
2022,Continued,1
2022,Denied,3
2022,Dismissed,3
2022,Dismissed / Withdrawn,227
2022,Granted,35
2022,Refused,2
2022,Withdrawn,16
2023,Approved,2
2023,Complete,842
2023,Continued,2
2023,Denied,6
2023,Dismissed,1
2023,Dismissed / Withdrawn,150
2023,Granted,12
2023,Refused,6
2023,Withdrawn,6
2024,Approved,5
2024,Cancelled,1
2024,Complete,840
2024,Continued,2
2024,Denied,1
2024,Dismissed,3
2024,Dismissed / Withdrawn,115
2024,Granted,11
2024,Refused,2
2024,Withdrawn,3
2025,Approved,2
2025,Complete,314
2025,Dismissed,1
2025,Dismissed / Withdrawn,32
2025,Granted,16
2025,Refused,3
2025,Withdrawn,6
