year,appeal_number,use_variance,dimensional_variance,confidence,reason
2020,39575,True,False,high,Use: X units/families
2020,39584,True,True,medium,Both: For use as X-family household living + New construction
2020,39585,False,True,medium,Dimensional: Erection of structure
2020,39598,False,False,low,No clear pattern matched
2020,39599,True,False,high,Use: X units/families
2020,39600,True,False,high,Use: Office use
2020,39603,True,True,medium,Both: For use as household living + Erection of structure
2020,39606,False,True,medium,Dimensional: Parking spaces
2020,39608,True,False,high,Use: Multifamily dwelling
2020,39609,True,False,high,Use: X units/families
2020,39610,True,True,medium,Both: Multifamily household living + Addition
2020,39611,True,True,medium,Both: Permit for use + Parking spaces
2020,39612,False,False,low,No clear pattern matched
2020,39616,True,True,medium,Both: For use as household living + Erection of structure
2020,39617,True,False,high,Use: Office use
2020,39618,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39619,True,False,high,Use: X units/families
2020,39620,False,True,medium,Dimensional: Addition
2020,39621,False,True,medium,Dimensional: Erection of structure
2020,39624,True,False,high,Use: For use as household living
2020,39627,False,False,low,No clear pattern matched
2020,39628,False,False,low,No clear pattern matched
2020,39629,True,False,high,Use: Multifamily dwelling
2020,39634,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39635,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39638,True,False,high,Use: For use as household living
2020,39640,True,True,medium,Both: Multifamily household living + Roof deck
2020,39642,True,True,medium,Both: X units/families + Erection of structure
2020,39643,True,True,medium,Both: For use as office + Erection of structure
2020,39644,False,True,medium,Dimensional: Erection of structure
2020,39645,True,True,medium,Both: Multifamily household living + Accessory parking
2020,39646,True,False,high,Use: X units/families
2020,39647,True,True,medium,Both: For use as household living + Erection of structure
2020,39648,True,False,high,Use: Multifamily household living
2020,39650,True,False,high,Use: X units/families
2020,39651,False,True,medium,Dimensional: Erection of structure
2020,39652,True,True,medium,Both: X units/families + Parking spaces
2020,39653,True,False,high,Use: Restaurant use
2020,39655,True,False,high,Use: Multifamily dwelling
2020,39657,True,False,high,Use: Retail use
2020,39658,True,False,high,Use: X units/families
2020,39659,True,True,medium,Both: For use as X-family household living + Erection of structure
2020,39660,True,True,medium,Both: X units/families + Erection of structure
2020,39661,False,False,low,No clear pattern matched
2020,39662,False,False,low,No clear pattern matched
2020,39665,True,True,medium,Both: For use as dwelling + Erection of structure
2020,39666,True,True,medium,Both: X units/families + Erection of structure
2020,39667,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39669,True,True,medium,Both: For use as household living + Erection of structure
2020,39672,True,True,medium,Both: For use as household living + Erection of structure
2020,39679,True,False,high,Use: Multifamily dwelling
2020,39680,False,True,medium,Dimensional: Erection of structure
2020,39683,True,False,high,Use: Permit for use
2020,39686,True,False,high,Use: X units/families
2020,39688,True,False,high,Use: Permit for use
2020,39687,True,True,medium,Both: For use as household living + Addition
2020,39684,True,False,high,Use: X units/families
2020,39685,True,False,high,Use: Retail use
2020,39689,True,False,high,Use: X units/families
2020,39690,True,False,high,Use: X units/families
2020,39691,False,True,medium,Dimensional: Erection of structure
2020,39692,False,True,medium,Dimensional: Parking spaces
2020,39693,False,False,low,No clear pattern matched
2020,39694,False,True,medium,Dimensional: Addition
2020,39695,True,True,medium,Both: Multifamily dwelling + Parking spaces
2020,39697,True,False,high,Use: Office use
2020,39700,True,False,high,Use: X units/families
2020,39707,False,True,medium,Dimensional: Erection of structure
2020,39708,True,True,medium,Both: Multifamily dwelling + Parking spaces
2020,39709,True,False,high,Use: Restaurant use
2020,39710,True,False,high,Use: Two-family dwelling
2020,39711,True,False,high,Use: Multifamily dwelling
2020,39712,True,False,high,Use: Permit for use
2020,39714,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39715,False,True,medium,Dimensional: Addition
2020,39716,True,True,medium,Both: X dwelling units + Parking spaces
2020,39717,False,False,low,No clear pattern matched
2020,39718,True,True,medium,Both: X units/families + Parking spaces
2020,39719,False,True,medium,Dimensional: Addition
2020,39727,False,False,low,No clear pattern matched
2020,39728,True,True,medium,Both: For use as household living + Erection of structure
2020,39747,False,False,low,No clear pattern matched
2020,39748,True,False,high,Use: Multifamily dwelling
2020,39749,True,False,high,Use: For use as restaurant
2020,39750,False,True,medium,Dimensional: New construction
2020,39751,True,True,medium,Both: For use as household living + Roof deck
2020,39752,True,False,high,Use: X units/families
2020,39753,True,True,medium,Both: Permit for use + Parking spaces
2020,39817,False,True,medium,Dimensional: Erection of structure
2020,39818,True,False,high,Use: Permit for use
2020,39819,True,False,high,Use: X units/families
2020,39820,True,False,high,Use: X units/families
2020,39754,True,True,medium,Both: For use as X-family household living + Erection of structure
2020,39822,True,False,high,Use: Restaurant use
2020,39823,True,False,high,Use: Multifamily dwelling
2020,39825,False,True,medium,Dimensional: Erection of structure
2020,39826,True,True,medium,Both: X dwelling units + Erection of structure
2020,39827,True,True,medium,Both: Office use + Lot line relocation
2020,39828,True,True,medium,Both: X dwelling units + Erection of structure
2020,39829,True,True,medium,Both: For use as household living + Erection of structure
2020,39824,True,True,medium,Both: X dwelling units + Erection of structure
2020,39833,True,True,medium,Both: Restaurant use + Erection of structure
2020,39834,True,False,high,Use: For use as X-family household living
2020,39835,False,False,low,No clear pattern matched
2020,39836,True,True,medium,Both: For use as household living + Erection of structure
2020,39837,True,True,medium,Both: X units/families + Erection of structure
2020,39839,True,False,high,Use: X units/families
2020,39842,True,False,high,Use: X units/families
2020,39843,True,False,high,Use: X units/families
2020,39846,False,False,low,No clear pattern matched
2020,39847,True,True,medium,Both: X units/families + Parking spaces
2020,39848,True,False,high,Use: X units/families
2020,39849,True,True,medium,Both: Multifamily household living + Erection of structure
2020,39854,True,False,high,Use: X units/families
2020,39858,True,True,medium,Both: Two-family dwelling + Erection of structure
2020,39859,True,True,medium,Both: X units/families + Parking spaces
2020,39860,True,False,high,Use: X units/families
2020,39861,True,False,high,Use: Multifamily dwelling
2020,39862,True,False,high,Use: X units/families
2020,39863,True,False,high,Use: Multifamily dwelling
