appeal_number,year,is_multifamily,violations
ZP-2025-012689,2026,False,Unclassified
ZP-2025-012107,2026,True,Height; Accessory Structure
ZP-2025-012719,2026,True,Unclassified
ZP-2025-008480,2026,True,Parking; Accessory Structure
ZP-2025-012673,2026,False,Signage
ZP-2025-012542,2026,False,Unclassified
ZP-2025-011940,2026,False,Unclassified
ZP-2025-012663,2026,True,Unclassified
ZP-2025-012662,2026,True,Unclassified
ZP-2025-011844,2026,True,Unclassified
ZP-2025-010843,2026,False,Height
ZP-2025-009618,2026,True,Unclassified
ZP-2025-009626,2026,True,Parking; Accessory Structure
ZP-2025-012553,2026,False,Signage
ZP-2025-010715,2026,True,Unclassified
ZP-2025-009716,2025,True,Parking; Accessory Structure
ZP-2025-011124,2025,False,Setback
ZP-2025-011058,2025,False,Unclassified
ZP-2025-009837,2025,False,Unclassified
ZP-2025-011503,2025,False,Signage
ZP-2025-011749,2025,True,Unclassified
ZP-2025-011596,2025,False,Accessory Structure
ZP-2025-011754,2025,False,Unclassified
ZP-2025-012530,2025,False,Unclassified
ZP-2025-012578,2025,False,Unclassified
ZP-2025-012397,2025,False,Unclassified
ZP-2025-011767,2025,False,Unclassified
ZP-2025-011510,2025,False,Unclassified
ZP-2025-009287,2025,True,Parking; Height
ZP-2025-011769,2025,True,Unclassified
ZP-2025-011768,2025,True,Unclassified
ZP-2025-011249,2025,False,Signage
ZP-2025-010665,2025,False,Signage
ZP-2025-011171,2025,True,Unclassified
ZP-2025-010675,2025,True,Unclassified
ZP-2025-010019,2025,False,Parking; Accessory Structure
ZP-2025-007949,2025,False,Accessory Structure
ZP-2025-010862,2025,False,Height
ZP-2025-003029,2025,False,Height; Accessory Structure
ZP-2025-010892,2025,False,Unclassified
ZP-2025-011020,2025,True,Unclassified
ZP-2025-011468,2025,True,Unclassified
ZP-2025-011677,2025,False,Unclassified
ZP-2025-010020,2025,False,Parking; Accessory Structure
ZP-2025-005465,2025,False,Parking; Accessory Structure
ZP-2025-010244,2025,True,Accessory Structure
ZP-2025-008111,2025,False,Parking; Accessory Structure
ZP-2025-008110,2025,False,Parking; Accessory Structure
ZP-2025-008107,2025,False,Parking; Height; Accessory Structure
ZP-2025-011931,2025,False,Signage
ZP-2025-010487,2025,False,Parking; Accessory Structure
ZP-2025-011888,2025,True,Height
ZP-2025-006232,2025,False,Parking; Accessory Structure
ZP-2025-009400,2025,False,Signage
ZP-2025-008650,2025,False,Height; Accessory Structure; Signage
ZP-2025-007378,2025,True,Parking; Accessory Structure
ZP-2025-010745,2025,False,Parking; Height; Accessory Structure
ZP-2025-010603,2025,False,Signage
ZP-2025-011936,2025,False,Unclassified
ZP-2025-009683,2025,False,Accessory Structure
ZP-2025-011725,2025,False,Unclassified
ZP-2025-002893,2025,False,Accessory Structure; Signage
ZP-2025-010779,2025,True,Accessory Structure
ZP-2025-011682,2025,False,Signage
ZP-2025-011623,2025,False,Parking; Height
ZP-2025-011153,2025,True,Height
ZP-2025-011426,2025,False,Unclassified
ZP-2025-006404,2025,False,Parking; Accessory Structure
ZP-2025-011431,2025,False,Unclassified
ZP-2025-010810,2025,True,Height; Loading / Service
ZP-2025-011379,2025,False,Unclassified
ZP-2025-010876,2025,True,Unclassified
